Amount,Location,Type,Hour,Day,Is_New_Location,Is_High_Amount,Class
54.16,Pune,ATM Withdrawal,4,Thu,0,0,0
78.73,Hyderabad,UPI,2,Sun,0,1,1
274.47,Delhi,E-Commerce,5,Wed,0,0,0
209.75,Hyderabad,Bank Transfer,0,Wed,0,0,0
378.39,Other,POS Swipe,7,Wed,0,0,0
214.36,Pune,Bank Transfer,12,Tue,1,0,0
168.01,Pune,Bank Transfer,19,Fri,0,0,0
19.67,Hyderabad,Bank Transfer,5,Wed,0,0,0
91.68,Pune,ATM Withdrawal,17,Sat,0,0,0
61.63,Other,Bank Transfer,17,Sun,0,1,0
55.94,Bangalore,UPI,15,Fri,0,0,0
722.46,Mumbai,UPI,7,Sun,1,0,1
99.88,Mumbai,E-Commerce,16,Wed,0,0,0
445.21,Mumbai,E-Commerce,7,Thu,0,0,0
199.47,Bangalore,Bank Transfer,14,Sun,0,0,0
316.77,Pune,Bank Transfer,9,Wed,0,1,0
139.69,Hyderabad,ATM Withdrawal,0,Fri,1,0,1
172.03,Delhi,Bank Transfer,8,Tue,0,0,0
135.66,Pune,Bank Transfer,16,Sun,0,0,0
43.44,Bangalore,Bank Transfer,19,Sat,0,0,0
256.35,Other,POS Swipe,0,Thu,0,0,0
65.92,Bangalore,POS Swipe,8,Fri,0,0,0
4.92,Mumbai,ATM Withdrawal,13,Mon,0,0,0
207.39,Pune,ATM Withdrawal,23,Wed,0,0,0
38.99,Mumbai,UPI,4,Thu,0,0,1
564.22,Delhi,ATM Withdrawal,5,Tue,0,0,1
615.51,Other,UPI,4,Sun,0,0,1
492.7,Mumbai,Bank Transfer,3,Mon,1,0,1
92.46,Delhi,ATM Withdrawal,15,Sun,0,0,0
3.12,Bangalore,ATM Withdrawal,15,Wed,0,0,0
527.1,Mumbai,ATM Withdrawal,9,Thu,1,0,1
111.79,Mumbai,UPI,13,Sat,0,0,0
680.17,Hyderabad,UPI,12,Fri,0,0,1
662.75,Other,E-Commerce,3,Sun,1,0,1
383.48,Other,UPI,13,Wed,1,0,1
69.76,Bangalore,UPI,23,Thu,0,0,1
97.26,Hyderabad,POS Swipe,23,Wed,0,0,0
380.95,Delhi,ATM Withdrawal,8,Sat,0,1,0
76.23,Delhi,UPI,2,Thu,0,0,1
37.14,Bangalore,ATM Withdrawal,9,Fri,0,0,0
162.75,Other,ATM Withdrawal,14,Wed,0,0,0
550.26,Delhi,POS Swipe,23,Sun,0,0,1
238.17,Bangalore,ATM Withdrawal,18,Thu,0,0,0
168.82,Delhi,UPI,1,Sun,0,0,1
20.45,Pune,ATM Withdrawal,1,Mon,0,0,0
190.91,Mumbai,E-Commerce,8,Tue,0,0,0
922.11,Other,E-Commerce,3,Sat,0,0,1
30.18,Pune,POS Swipe,4,Thu,0,0,0
146.1,Bangalore,UPI,1,Sun,0,0,1
419.72,Bangalore,POS Swipe,6,Thu,0,0,0
270.01,Pune,E-Commerce,18,Thu,0,0,0
238.81,Mumbai,UPI,5,Wed,0,0,1
242.46,Mumbai,ATM Withdrawal,22,Sat,0,0,0
89.1,Hyderabad,UPI,15,Tue,0,0,0
69.51,Delhi,Bank Transfer,13,Sat,0,0,0
331.47,Hyderabad,UPI,11,Wed,0,0,0
332.27,Mumbai,ATM Withdrawal,5,Sun,0,0,0
403.59,Pune,Bank Transfer,21,Thu,0,0,0
488.92,Delhi,POS Swipe,12,Sat,0,0,0
143.22,Pune,UPI,14,Thu,0,0,0
139.24,Hyderabad,POS Swipe,23,Tue,0,0,0
320.19,Bangalore,UPI,13,Mon,0,0,0
209.94,Pune,E-Commerce,7,Wed,0,0,0
242.11,Hyderabad,E-Commerce,20,Mon,0,0,0
317.72,Hyderabad,ATM Withdrawal,19,Sat,0,0,0
441.46,Hyderabad,E-Commerce,10,Thu,0,0,0
82.5,Bangalore,Bank Transfer,20,Sun,0,0,0
94.19,Bangalore,Bank Transfer,8,Sun,0,0,0
19.74,Bangalore,UPI,11,Thu,0,0,0
172.68,Delhi,POS Swipe,5,Fri,0,0,0
7.32,Bangalore,Bank Transfer,18,Fri,1,0,0
125.32,Bangalore,UPI,2,Mon,0,0,1
156.46,Bangalore,POS Swipe,0,Fri,0,0,0
67.53,Pune,E-Commerce,14,Sun,0,0,0
178.73,Bangalore,UPI,14,Sat,0,0,0
6.2,Delhi,POS Swipe,4,Tue,0,1,0
7.61,Hyderabad,ATM Withdrawal,21,Sat,0,0,0
345.87,Pune,ATM Withdrawal,23,Mon,0,0,0
89.32,Mumbai,Bank Transfer,10,Sat,0,0,0
27.18,Bangalore,POS Swipe,22,Fri,0,0,0
147.73,Hyderabad,ATM Withdrawal,0,Fri,0,0,0
293.93,Hyderabad,Bank Transfer,22,Tue,0,0,0
48.62,Pune,UPI,9,Sat,0,0,0
195.04,Mumbai,UPI,19,Tue,0,0,0
17.84,Other,POS Swipe,10,Sun,0,0,0
10.61,Delhi,POS Swipe,6,Mon,0,0,0
151.58,Other,POS Swipe,16,Wed,0,0,0
155.58,Hyderabad,POS Swipe,11,Sat,0,0,0
202.91,Other,ATM Withdrawal,3,Sun,0,0,0
258.99,Hyderabad,ATM Withdrawal,11,Sun,0,0,0
744.71,Other,Bank Transfer,23,Sat,0,0,1
145.26,Hyderabad,ATM Withdrawal,2,Tue,0,0,0
78.0,Hyderabad,UPI,17,Fri,0,0,0
317.13,Pune,Bank Transfer,11,Mon,0,0,0
63.17,Mumbai,ATM Withdrawal,23,Wed,0,0,0
115.6,Hyderabad,POS Swipe,23,Sat,0,0,0
16.34,Delhi,ATM Withdrawal,18,Mon,0,0,0
5.14,Delhi,E-Commerce,12,Fri,0,0,0
657.48,Bangalore,Bank Transfer,15,Wed,0,0,0
361.55,Hyderabad,ATM Withdrawal,7,Wed,0,0,0
238.13,Hyderabad,ATM Withdrawal,5,Sun,0,0,0
105.17,Hyderabad,UPI,9,Tue,0,0,0
38.06,Other,POS Swipe,9,Thu,0,0,0
34.02,Hyderabad,POS Swipe,5,Fri,0,0,0
57.6,Hyderabad,UPI,7,Thu,0,0,0
159.36,Delhi,UPI,17,Fri,0,0,0
250.77,Mumbai,E-Commerce,16,Mon,0,0,0
215.88,Mumbai,Bank Transfer,9,Thu,0,0,0
65.68,Bangalore,POS Swipe,1,Sun,0,0,0
619.62,Delhi,UPI,11,Sat,0,0,1
267.8,Hyderabad,UPI,19,Sun,0,0,0
161.65,Mumbai,Bank Transfer,9,Sun,1,0,0
189.21,Pune,UPI,8,Sat,0,0,0
108.81,Pune,E-Commerce,15,Sat,0,0,0
56.93,Pune,Bank Transfer,6,Wed,0,0,0
88.0,Hyderabad,E-Commerce,8,Tue,0,1,0
283.64,Hyderabad,ATM Withdrawal,23,Sun,1,0,1
2.9,Bangalore,POS Swipe,5,Fri,0,0,0
24.68,Bangalore,UPI,9,Tue,0,0,0
9.42,Bangalore,Bank Transfer,6,Fri,0,0,0
8.32,Other,E-Commerce,17,Sat,1,1,0
386.84,Pune,POS Swipe,10,Wed,0,0,0
243.25,Hyderabad,POS Swipe,0,Wed,0,0,0
128.56,Pune,UPI,20,Wed,1,0,1
20.59,Bangalore,POS Swipe,23,Wed,1,0,1
135.3,Hyderabad,UPI,18,Sun,0,0,0
128.29,Delhi,ATM Withdrawal,22,Wed,0,0,0
38.04,Mumbai,UPI,4,Sat,0,0,1
113.78,Mumbai,E-Commerce,23,Tue,0,0,0
101.67,Bangalore,POS Swipe,5,Mon,0,0,0
191.34,Pune,POS Swipe,21,Thu,0,0,0
201.62,Delhi,POS Swipe,6,Tue,0,0,0
9.27,Hyderabad,UPI,22,Sat,0,0,1
93.88,Pune,Bank Transfer,3,Thu,0,1,0
196.62,Bangalore,UPI,15,Mon,0,0,0
139.89,Pune,E-Commerce,9,Fri,0,0,0
388.27,Bangalore,UPI,14,Sun,1,0,1
214.99,Other,POS Swipe,12,Mon,0,0,0
35.57,Mumbai,ATM Withdrawal,7,Mon,0,0,0
14.64,Mumbai,E-Commerce,21,Sat,0,0,0
205.68,Pune,ATM Withdrawal,12,Sun,1,0,0
5.37,Delhi,E-Commerce,23,Fri,0,0,0
176.27,Hyderabad,E-Commerce,6,Thu,0,0,0
563.45,Bangalore,POS Swipe,16,Sun,0,0,0
171.36,Hyderabad,UPI,3,Wed,0,0,1
98.26,Mumbai,POS Swipe,6,Fri,1,0,0
206.17,Delhi,POS Swipe,15,Fri,0,0,0
122.59,Delhi,POS Swipe,1,Mon,0,0,0
157.76,Hyderabad,ATM Withdrawal,20,Fri,0,0,0
567.63,Mumbai,E-Commerce,21,Sun,0,0,0
97.59,Hyderabad,Bank Transfer,22,Tue,0,0,0
649.82,Pune,UPI,13,Sun,0,0,1
471.52,Delhi,POS Swipe,13,Wed,0,0,0
43.58,Delhi,E-Commerce,7,Sun,0,0,0
14.38,Pune,UPI,5,Mon,0,0,1
21.25,Mumbai,Bank Transfer,21,Thu,0,0,0
3.68,Delhi,Bank Transfer,6,Thu,0,0,0
19.84,Other,POS Swipe,6,Thu,0,0,0
229.77,Other,Bank Transfer,1,Thu,0,0,0
14.77,Other,Bank Transfer,3,Thu,0,0,0
76.83,Bangalore,UPI,12,Mon,0,0,0
372.71,Bangalore,UPI,9,Tue,0,0,0
4.71,Mumbai,POS Swipe,8,Tue,0,0,0
336.91,Pune,E-Commerce,14,Thu,0,0,0
66.22,Hyderabad,POS Swipe,11,Tue,0,0,0
25.15,Mumbai,ATM Withdrawal,9,Wed,0,0,0
238.63,Hyderabad,Bank Transfer,18,Tue,0,0,0
198.28,Mumbai,E-Commerce,20,Sun,0,1,0
419.88,Bangalore,UPI,4,Fri,0,0,1
265.66,Other,ATM Withdrawal,6,Thu,0,0,0
325.4,Pune,ATM Withdrawal,19,Sun,0,1,0
66.27,Bangalore,Bank Transfer,10,Fri,0,0,0
39.07,Pune,UPI,15,Fri,0,0,0
277.75,Hyderabad,E-Commerce,12,Thu,0,0,0
328.84,Mumbai,UPI,3,Sat,0,0,1
931.4,Delhi,Bank Transfer,15,Mon,0,0,0
106.42,Delhi,ATM Withdrawal,12,Sat,1,1,0
93.05,Pune,Bank Transfer,0,Tue,0,0,0
299.59,Other,POS Swipe,21,Sat,0,0,0
83.35,Other,ATM Withdrawal,3,Wed,0,1,0
534.03,Pune,Bank Transfer,14,Sat,0,0,0
390.97,Bangalore,E-Commerce,20,Sat,0,0,0
112.07,Delhi,E-Commerce,15,Mon,0,0,0
277.96,Bangalore,E-Commerce,3,Wed,0,0,0
280.93,Hyderabad,POS Swipe,16,Sat,0,0,0
21.77,Delhi,UPI,10,Thu,1,0,1
465.69,Hyderabad,E-Commerce,4,Tue,0,0,0
140.74,Mumbai,POS Swipe,12,Sat,0,0,0
350.27,Bangalore,E-Commerce,11,Mon,0,0,0
77.15,Pune,POS Swipe,22,Thu,0,0,0
451.76,Delhi,E-Commerce,2,Mon,1,0,1
98.6,Bangalore,UPI,3,Fri,0,0,1
2.18,Pune,Bank Transfer,9,Sat,1,0,0
471.58,Mumbai,E-Commerce,8,Tue,0,0,0
19.15,Delhi,Bank Transfer,9,Tue,0,0,0
76.93,Hyderabad,E-Commerce,12,Thu,0,0,0
599.39,Mumbai,UPI,0,Thu,0,0,1
601.59,Other,Bank Transfer,11,Thu,0,0,0
170.4,Pune,POS Swipe,10,Tue,1,0,0
199.85,Delhi,E-Commerce,20,Sat,0,0,0
119.0,Delhi,E-Commerce,7,Fri,0,0,0
69.4,Mumbai,POS Swipe,22,Tue,1,0,1
79.7,Delhi,UPI,13,Thu,0,0,0
223.26,Pune,ATM Withdrawal,13,Wed,1,1,0
279.17,Mumbai,E-Commerce,19,Sat,0,0,0
313.64,Hyderabad,POS Swipe,22,Fri,0,0,0
311.77,Mumbai,ATM Withdrawal,16,Tue,0,0,0
19.13,Mumbai,E-Commerce,21,Wed,0,0,0
136.41,Hyderabad,Bank Transfer,18,Sat,0,0,0
11.86,Other,POS Swipe,19,Sun,0,0,0
159.49,Pune,Bank Transfer,23,Sun,0,0,0
116.51,Other,UPI,20,Fri,0,0,0
437.32,Other,ATM Withdrawal,20,Sun,1,0,0
86.44,Other,POS Swipe,16,Tue,0,0,0
24.9,Bangalore,E-Commerce,5,Sun,1,0,1
30.86,Other,E-Commerce,13,Sat,0,0,0
286.69,Bangalore,ATM Withdrawal,17,Sat,0,0,0
192.58,Hyderabad,Bank Transfer,16,Thu,0,0,0
21.32,Pune,Bank Transfer,5,Tue,1,0,1
17.57,Other,POS Swipe,4,Sat,0,0,0
241.44,Delhi,POS Swipe,12,Fri,0,0,0
15.11,Hyderabad,Bank Transfer,15,Thu,0,0,0
345.04,Bangalore,POS Swipe,20,Sat,0,0,0
245.0,Pune,Bank Transfer,8,Mon,0,0,0
16.97,Mumbai,ATM Withdrawal,11,Wed,1,0,0
17.73,Pune,POS Swipe,9,Sat,1,0,0
863.09,Pune,Bank Transfer,12,Sun,0,0,0
93.77,Other,POS Swipe,18,Thu,0,0,0
92.61,Other,E-Commerce,15,Thu,0,0,0
335.12,Bangalore,E-Commerce,16,Fri,0,0,0
588.43,Bangalore,UPI,15,Sat,0,0,1
853.75,Other,Bank Transfer,13,Sat,0,0,0
279.98,Other,UPI,15,Fri,0,0,0
94.4,Delhi,Bank Transfer,23,Wed,0,0,0
17.44,Delhi,POS Swipe,14,Fri,1,0,0
300.25,Hyderabad,Bank Transfer,11,Thu,0,1,0
163.47,Other,E-Commerce,4,Wed,0,0,0
110.41,Mumbai,POS Swipe,10,Sun,0,0,0
473.65,Delhi,E-Commerce,4,Wed,1,0,1
23.58,Bangalore,POS Swipe,23,Tue,0,0,0
135.7,Pune,Bank Transfer,23,Thu,0,0,0
2.28,Hyderabad,Bank Transfer,10,Thu,0,1,0
126.47,Delhi,E-Commerce,1,Fri,0,0,0
11.59,Pune,ATM Withdrawal,18,Thu,0,1,0
25.3,Pune,Bank Transfer,16,Sat,1,0,0
25.01,Delhi,ATM Withdrawal,18,Fri,0,0,0
209.51,Mumbai,POS Swipe,11,Sun,0,0,0
274.12,Mumbai,ATM Withdrawal,19,Thu,0,0,0
175.11,Hyderabad,E-Commerce,22,Sat,0,0,0
654.94,Mumbai,UPI,4,Tue,1,0,1
93.96,Hyderabad,UPI,11,Thu,0,0,0
67.29,Bangalore,E-Commerce,15,Tue,1,0,0
405.9,Delhi,UPI,0,Sun,0,0,1
50.62,Pune,E-Commerce,1,Thu,0,0,0
660.57,Hyderabad,Bank Transfer,9,Thu,0,1,0
2.45,Mumbai,ATM Withdrawal,1,Mon,1,0,1
700.51,Hyderabad,UPI,9,Sun,0,0,1
8.82,Other,Bank Transfer,22,Sat,0,0,0
443.54,Hyderabad,UPI,17,Thu,0,0,0
150.03,Mumbai,POS Swipe,0,Tue,0,0,0
991.37,Other,E-Commerce,4,Wed,1,0,1
15.33,Other,E-Commerce,11,Tue,0,0,0
161.42,Mumbai,Bank Transfer,16,Sat,0,0,0
696.72,Other,POS Swipe,18,Thu,0,1,0
148.09,Delhi,ATM Withdrawal,17,Fri,1,0,0
198.53,Pune,POS Swipe,12,Mon,0,0,0
237.98,Delhi,POS Swipe,21,Fri,1,0,0
121.23,Delhi,ATM Withdrawal,2,Mon,1,1,1
197.53,Mumbai,ATM Withdrawal,20,Mon,0,0,0
175.57,Mumbai,POS Swipe,9,Fri,0,0,0
462.85,Pune,UPI,13,Sat,0,0,0
9.3,Hyderabad,UPI,7,Thu,0,0,0
65.97,Delhi,POS Swipe,9,Tue,0,0,0
600.8,Other,UPI,1,Fri,0,0,1
441.94,Pune,ATM Withdrawal,12,Wed,0,1,0
121.64,Delhi,ATM Withdrawal,4,Mon,0,0,0
193.59,Hyderabad,UPI,10,Tue,0,0,0
